#sample	chromosome	phase_set	from	to	variants
sample1	chr1	13649	13649	207150	222
sample1	chr1	260307	260307	289179	85
sample1	chr1	502494	502494	517709	10
sample1	chr1	529546	529546	531693	5
sample1	chr1	586303	586303	2699208	2008
sample1	chr1	2746712	2746712	12950672	10630
sample1	chr1	13005066	13005066	16798392	5676
sample1	chr1	16849384	16849384	26637356	10497
sample1	chr1	26642627	26642627	29551493	2154
sample1	chr1	29555241	29555241	43593228	10919
sample1	chr1	43594590	43594590	65439020	13190
sample1	chr1	65590258	65590258	70770318	3709
sample1	chr1	71022129	71022129	71117171	5
sample1	chr1	71474739	71474739	72298762	308
sample1	chr1	72377209	72377209	86882494	10722
sample1	chr1	87046779	87046779	87046828	8
sample1	chr1	87147330	87147330	103619729	12757
sample1	chr1	103761240	103761240	111421522	8585
sample1	chr1	111484332	111484332	121776240	8779
sample1	chr1	121777265	121777265	121803907	23
sample1	chr1	121822948	121822948	121823187	2
sample1	chr1	121831483	121831483	121886836	20
sample1	chr1	121907567	121907567	121908948	3
sample1	chr1	121914924	121914924	121915727	3
sample1	chr1	121917957	121917957	121919825	3
sample1	chr1	121924392	121924392	121925776	2
sample1	chr1	121931383	121931383	121952699	10
sample1	chr1	122032472	122032472	122032485	2
sample1	chr1	122072092	122072092	122073222	3
sample1	chr1	122231247	122231247	122231735	3
sample1	chr1	122260861	122260861	122262341	3
sample1	chr1	122269844	122269844	122271423	18
sample1	chr1	122286062	122286062	122286861	3
sample1	chr1	122291573	122291573	122292518	3
sample1	chr1	122379063	122379063	122382816	9
sample1	chr1	122438270	122438270	122438319	3
sample1	chr1	122509528	122509528	122530728	134
sample1	chr1	122535041	122535041	122639150	448
sample1	chr1	122641014	122641014	122641850	5
sample1	chr1	122642889	122642889	122643930	8
sample1	chr1	122658922	122658922	122658922	1
sample1	chr1	122666574	122666574	122667785	11
sample1	chr1	122673364	122673364	122675369	17
sample1	chr1	122692102	122692102	122716057	119
sample1	chr1	122716497	122716497	122716906	3
sample1	chr1	122725334	122725334	122737043	63
sample1	chr1	122742080	122742080	122742220	4
sample1	chr1	122773317	122773317	122773579	2
sample1	chr1	122780972	122780972	122782197	7
sample1	chr1	122798348	122798348	122799398	5
sample1	chr1	122802949	122802949	122814009	42
sample1	chr1	122818155	122818155	122818458	5
sample1	chr1	122861152	122861152	122862042	10
sample1	chr1	122864617	122864617	122887082	99
sample1	chr1	122888576	122888576	122912851	110
sample1	chr1	122929247	122929247	122929582	5
sample1	chr1	122939377	122939377	122977215	154
sample1	chr1	122984125	122984125	122984398	3
sample1	chr1	123029062	123029062	123029701	12
sample1	chr1	123032812	123032812	123033498	9
sample1	chr1	123037100	123037100	123037182	9
sample1	chr1	123067472	123067472	123115306	258
sample1	chr1	123140313	123140313	123140459	2
sample1	chr1	123250762	123250762	123251406	9
sample1	chr1	123260633	123260633	123261016	2
sample1	chr1	123328892	123328892	123329941	11
sample1	chr1	123353335	123353335	123353616	6
sample1	chr1	123370725	123370725	123370915	3
sample1	chr1	123394858	123394858	123395313	6
sample1	chr1	123429968	123429968	123457537	132
sample1	chr1	123467930	123467930	123469072	10
sample1	chr1	123507780	123507780	123508177	14
sample1	chr1	123618470	123618470	123618882	5
sample1	chr1	123630219	123630219	123656316	124
sample1	chr1	123674420	123674420	123675756	15
sample1	chr1	123677450	123677450	123699466	147
sample1	chr1	123717600	123717600	123751623	167
sample1	chr1	123755257	123755257	123775645	98
sample1	chr1	123796175	123796175	123835697	184
sample1	chr1	123842209	123842209	123842492	6
sample1	chr1	123924850	123924850	123928642	19
sample1	chr1	123949786	123949786	123950362	13
sample1	chr1	123959821	123959821	123960467	16
sample1	chr1	123981676	123981676	123983034	13
sample1	chr1	124011812	124011822	124013319	8
sample1	chr1	124019148	124019148	124078943	298
sample1	chr1	124082659	124082659	124083675	13
sample1	chr1	124124576	124124576	124125182	6
sample1	chr1	124129620	124129620	124130774	11
sample1	chr1	124203364	124203364	124205127	15
sample1	chr1	124225232	124225232	124246808	102
sample1	chr1	124269973	124269973	124270256	6
sample1	chr1	124280677	124280677	124329695	236
sample1	chr1	124343353	124343353	124344477	7
sample1	chr1	124376035	124376035	124377740	10
sample1	chr1	124389748	124389748	124390388	7
sample1	chr1	124400295	124400295	124439559	194
sample1	chr1	124414429	124414429	124414743	4
sample1	chr1	124474843	124474843	124476219	11
sample1	chr1	124492105	124492105	124533684	226
sample1	chr1	124550035	124550035	124555903	27
sample1	chr1	124588521	124588521	124611267	153
sample1	chr1	124613216	124613216	124614419	15
sample1	chr1	124615038	124615093	124617083	14
sample1	chr1	124638776	124638776	124673067	162
sample1	chr1	124714654	124714654	124715207	5
sample1	chr1	124721722	124721722	124763622	257
sample1	chr1	124765603	124765603	124766701	5
sample1	chr1	124781211	124781211	124782178	9
sample1	chr1	124787065	124787065	124788131	3
sample1	chr1	124801802	124802339	124915925	237
sample1	chr1	124925251	124925251	124925939	10
sample1	chr1	124933494	124933494	125129204	909
sample1	chr1	125136556	125136556	125183966	656
sample1	chr1	143184611	143184611	144163575	2082
sample1	chr1	144322740	144322740	144661003	79
sample1	chr1	144802763	144802763	146254760	411
sample1	chr1	146321683	146321683	149289740	1701
sample1	chr1	149315098	149315098	149315319	2
sample1	chr1	149390858	149390858	152582529	2053
sample1	chr1	152616625	152616625	181565451	25804
sample1	chr1	181687239	181687239	195471343	11388
sample1	chr1	195600016	195600016	217742802	19526
sample1	chr1	217850966	217850966	218639887	686
sample1	chr1	218760937	218760937	223558827	4579
sample1	chr1	223609492	223609492	228555166	4237
sample1	chr1	228620912	228620912	246817961	18774
sample1	chr1	246819464	246819464	248506099	1808
sample1	chr1	248519467	248519467	248945478	477
