ABCC9	chr12	21797389	21942543
ACTA1	chr1	229430365	229434104
ACTN2	chr1	236664141	236764631
ANKRD1	chr10	90912096	90921087
BAG3	chr10	119651380	119677819
CASQ2	chr1	115700021	115768714
CRYAB	chr11	111908564	111923722
CSRP3	chr11	19182030	19210571
DES	chr2	219418377	219426735
DNAJC19	chr3	180983697	180989774
DOLK	chr9	128945530	128947603
DSC2	chr18	31058840	31102522
DSG2	chr18	31498177	31549008
DSP	chr6	7541617	7586714
EYA4	chr6	133240514	133532128
FKTN	chr9	105558122	105653820
GATAD1	chr7	92447482	92460075
ILK	chr11	6603708	6610874
JUP	chr17	41754604	41786931
LAMA2	chr6	128883138	129516566
LAMA4	chr6	112107931	112254939
LDB3	chr10	86666785	86736072
LMNA	chr1	156082573	156140081
CAVIN4	chr9	100578079	100588389
MYBPC3	chr11	47331406	47352702
MYH6	chr14	23381982	23408273
MYH7	chr14	23412740	23435660
MYL2	chr12	110910819	110921443
MYPN	chr10	68087897	68212017
NEXN	chr1	77888513	77943895
NKX2-5	chr5	173232109	173235311
NPPA	chr1	11845709	11848345
PDLIM3	chr4	185500660	185535507
PKP2	chr12	32790745	32896777
PLN	chr6	118548296	118561716
PRDM16	chr1	3069168	3438621
RAF1	chr3	12582101	12664201
RBM20	chr10	110644336	110839468
SDHA	chr5	218303	257082
SGCB	chr4	52020706	52038299
SGCD	chr5	155870344	156767788
TBX20	chr7	35202430	35254100
TCAP	chr17	39665349	39666554
TMPO	chr12	98515579	98550351
TNNC1	chr3	52451100	52454041
TNNI3	chr19	55151767	55157773
TNNT2	chr1	201359008	201377764
TPM1	chr15	63042632	63071915
TTN	chr2	178525989	178830802
TXNRD2	chr22	19875517	19941820
VCL	chr10	73995193	74121363
ZBTB17	chr1	15941869	15976132
